ARTIST,TITLE
"Ellie Goulding","Love Me Like You Do"
"The Weeknd","Earned It"
"Walk the Moon","Shut Up and Dance"
"The Weeknd","Can't Feel My Face"
"Taylor Swift","Blank Space"
"Silento","Watch Me (Whip/Nae Nae)"
"Lukas Graham","7 Years"
"The Chainsmokers featuring Halsey","Closer"
"Rihanna featuring Drake","Work"
"twenty one pilots","Stressed Out"
"Desiigner","Panda"
"Adele","Hello"
"Justin Bieber","Love Yourself"
"Justin Timberlake","Can't Stop the Feeling!"
"Drake featuring WizKid and Kyla","One Dance"
"Sia featuring Sean Paul","Cheap Thrills"
"Ed Sheeran","Shape of You"
"Luis Fonsi & Daddy Yankee featuring Justin Bieber","Despacito (Remix)"
"Bruno Mars","That's What I Like"
"Kendrick Lamar","Humble."
"The Chainsmokers & Coldplay","Something Just Like This"
"Migos featuring Lil Uzi Vert","Bad and Boujee"
"The Chainsmokers featuring Halsey","Closer"
"Sam Hunt","Body Like a Back Road"
"Imagine Dragons","Believer"
"Post Malone featuring 21 Savage","Rockstar"
"Drake","God's Plan"
"Ed Sheeran","Perfect"
"Post Malone featuring Ty Dolla Sign","Psycho"
"Camila Cabello featuring Young Thug","Havana"
"Post Malone","Better Now"
"Maroon 5 featuring Cardi B","Girls Like You"
"Juice WRLD","Lucid Dreams"
"Imagine Dragons","Thunder"
"Ariana Grande","No Tears Left to Cry"
"Travis Scott","Sicko Mode"
"Lil Nas X featuring Billy Ray Cyrus","Old Town Road"
"Post Malone and Swae Lee","Sunflower"
"Ariana Grande","7 Rings"
"Halsey","Without Me"
"Post Malone","Wow."
"Billie Eilish","Bad Guy"
"Khalid","Talk"
"Jonas Brothers","Sucker"
"Ed Sheeran and Justin Bieber","I Don't Care"
"Sam Smith and Normani","Dancing with a Stranger"
"G-Dragon","Crayon"
"G-Dragon","Crooked"
"G-Dragon","Untitled, 2014"
"G-Dragon","Who You?"
"G-Dragon","That XX"
"G-Dragon","One of a Kind"
"G-Dragon","Heartbreaker"
"G-Dragon","MichiGO"
"G-Dragon","Middle Fingers-Up"
"G-Dragon","Breathe"
"G-Dragon","Without You (feat. ROSE)"
"BTS","Dynamite"
"BTS","Boy With Luv (feat. Halsey)"
"BTS","DNA"
"BTS","FAKE LOVE"
"BTS (Steve Aoki Remix)","Mic Drop"
"BTS","Blood Sweat & Tears"
"BTS","IDOL"
"BTS","Spring Day"
"BTS","Save Me"
"BTS","Not Today"
"BTS","Butter"
"BTS","Left and Right (feat. Jung Kook of BTS)"
"BTS","Take Two"
"BTS","My Universe"
"BTS","Dreamers"
"BLACKPINK","DDU-DU DDU-DU"
"BLACKPINK","Kill This Love"
"BLACKPINK","BOOMBAYAH"
"BLACKPINK","How You Like That"
"BLACKPINK","As If It's Your Last"
"BLACKPINK","Ice Cream (with Selena Gomez)" 
"BLACKPINK","Lovesick Girls"
"BLACKPINK","Playing with Fire"
"BLACKPINK","Whistle"
"BLACKPINK","Stay"
"BLACKPINK","Pretty Savage"
"BLACKPINK","Shut Down"
"BLACKPINK","Pink Venom"
"BLACKPINK","Tally"
"BLACKPINK","Typa Girl"
"BLACKPINK","Hard To Love"
